当真勇(1),6,9,7,4,13,10,0.0,1.0,0.0,0.0
佐鳥賢(1),6,8,6,5,9,8,0.0,1.0,0.0,0.0
奈良坂透(1),6,9,7,5,12,12,0.0,1.0,0.0,0.0
古寺章平(1),6,6,7,4,9,8,0.0,1.0,0.0,0.0
鳩原未来(1),8,1,8,4,14,10,0.0,1.0,0.0,0.0
絵馬ユズル(1),6,8,6,5,10,9,0.0,1.0,0.0,0.0
別役太一(1),5,6,4,5,7,7,1.0,0.0,0.0,0.0
東春秋(1),7,8,11,5,10,10,0.0,1.0,0.0,0.0
荒船哲次(1),6,8,8,5,8,7,0.0,1.0,0.0,0.0
穂刈篤(1),7,7,8,5,8,8,0.0,1.0,0.0,0.0
半崎義人(1),5,6,8,4,11,11,0.0,1.0,0.0,0.0
日浦茜(1),5,7,5,5,8,7,1.0,0.0,0.0,0.0
夏目出穂(1),5,6,4,6,4,6,1.0,0.0,0.0,0.0
忍田真史(2),7,14,9,7,10,3,1.0,0.0,0.0,0.0
沢村響子(2),6,7,9,7,7,3,1.0,0.0,0.0,0.0
寺島雷蔵(2),7,9,6,7,10,2,1.0,0.0,0.0,0.0
太刀川慶(2),6,14,9,8,8,2,1.0,0.0,0.0,0.0
風間蒼也(2),6,9,8,9,9,1,1.0,0.0,0.0,0.0
菊地原士郎(2),8,7,7,8,8,1,1.0,0.0,0.0,0.0
緑川駿(2),5,9,6,11,7,1,1.0,0.0,0.0,0.0
黒江双葉(2),6,8,5,10,6,2,1.0,0.0,0.0,0.0
米屋陽介(2),4,8,8,9,9,2,1.0,0.0,0.0,0.0
小南桐絵(2),6,13,7,10,9,3,1.0,0.0,0.0,0.0
迅悠一(2),7,10,15,7,9,1,1.0,0.0,0.0,0.0
辻新之助(2),6,7,9,7,8,2,1.0,0.0,0.0,0.0
影浦雅人(2),7,12,5,7,9,2,1.0,0.0,0.0,0.0
村上鋼(2),7,9,10,7,9,2,1.0,0.0,0.0,0.0
小荒井登(2),4,7,6,8,6,2,1.0,0.0,0.0,0.0
奥寺常幸(2),5,6,6,8,7,2,1.0,0.0,0.0,0.0
空閑遊真(2),7,9,8,10,8,2,1.0,0.0,0.0,0.0
三浦雄太(2),5,6,6,8,6,2,1.0,0.0,0.0,0.0
笹森日佐人(2),5,6,7,7,6,2,1.0,0.0,0.0,0.0
熊谷友子(2),5,6,8,7,8,3,1.0,0.0,0.0,0.0
月見花緒(2),6,5,5,5,4,2,1.0,0.0,0.0,0.0
丙秀英(2),5,4,6,6,5,1,1.0,0.0,0.0,0.0
